Date,signal
2017-01-10,stay
2017-01-11,stay
2017-01-12,stay
2017-01-13,up
2017-01-17,stay
2017-01-18,stay
2017-01-19,stay
2017-01-20,stay
2017-01-23,up
2017-01-24,up
2017-01-25,down
2017-01-26,stay
2017-01-27,stay
2017-01-30,stay
2017-01-31,stay
2017-02-01,down
2017-02-02,up
2017-02-03,stay
2017-02-06,up
2017-02-07,stay
2017-02-08,up
2017-02-09,stay
2017-02-10,stay
2017-02-13,up
2017-02-14,stay
2017-02-15,stay
2017-02-16,down
2017-02-17,up
2017-02-21,stay
2017-02-22,down
2017-02-23,down
2017-02-24,up
2017-02-27,stay
2017-02-28,up
2017-03-01,down
2017-03-02,stay
2017-03-03,stay
2017-03-06,up
2017-03-07,down
2017-03-08,stay
2017-03-09,down
2017-03-10,stay
2017-03-13,stay
2017-03-14,up
2017-03-15,down
2017-03-16,stay
2017-03-17,stay
2017-03-20,stay
2017-03-21,down
2017-03-22,up
2017-03-23,stay
2017-03-24,up
2017-03-27,up
2017-03-28,stay
2017-03-29,stay
2017-03-30,stay
2017-03-31,stay
2017-04-03,up
2017-04-04,up
2017-04-05,down
2017-04-06,stay
2017-04-07,up
2017-04-10,up
2017-04-11,down
2017-04-12,down
2017-04-13,up
2017-04-17,down
2017-04-18,stay
2017-04-19,up
2017-04-20,down
2017-04-21,up
2017-04-24,stay
2017-04-25,up
2017-04-26,stay
2017-04-27,stay
2017-04-28,up
2017-05-01,up
2017-05-02,down
2017-05-03,down
2017-05-04,down
2017-05-05,up
2017-05-08,down
2017-05-09,up
2017-05-10,stay
2017-05-11,stay
2017-05-12,stay
2017-05-15,down
2017-05-16,stay
2017-05-17,down
2017-05-18,up
2017-05-19,down
2017-05-22,down
2017-05-23,down
2017-05-24,up
2017-05-25,up
2017-05-26,up
2017-05-30,up
2017-05-31,up
2017-06-01,down
2017-06-02,stay
2017-06-05,up
2017-06-06,up
2017-06-07,stay
2017-06-08,up
2017-06-09,down
2017-06-12,stay
2017-06-13,up
2017-06-14,stay
2017-06-15,stay
2017-06-16,down
2017-06-19,down
2017-06-20,stay
2017-06-21,stay
2017-06-22,up
2017-06-23,stay
2017-06-26,down
2017-06-27,down
2017-06-28,stay
2017-06-29,down
2017-06-30,stay
2017-07-03,down
2017-07-05,down
2017-07-06,down
2017-07-07,stay
2017-07-10,stay
2017-07-11,up
2017-07-12,stay
2017-07-13,down
2017-07-14,stay
2017-07-17,down
2017-07-18,up
2017-07-19,down
2017-07-20,stay
2017-07-21,stay
2017-07-24,up
2017-07-25,down
2017-07-26,up
2017-07-27,down
2017-07-28,stay
2017-07-31,down
2017-08-01,down
2017-08-02,up
2017-08-03,stay
2017-08-04,up
2017-08-07,stay
2017-08-08,up
2017-08-09,stay
2017-08-10,stay
2017-08-11,stay
2017-08-14,stay
2017-08-15,stay
2017-08-16,stay
2017-08-17,down
2017-08-18,down
2017-08-21,down
2017-08-22,stay
2017-08-23,up
2017-08-24,stay
2017-08-25,down
2017-08-28,stay
2017-08-29,up
2017-08-30,stay
2017-08-31,stay
2017-09-01,stay
2017-09-05,stay
2017-09-06,down
2017-09-07,up
2017-09-08,down
2017-09-11,up
2017-09-12,stay
2017-09-13,stay
2017-09-14,up
2017-09-15,up
2017-09-18,up
2017-09-19,down
2017-09-20,stay
2017-09-21,down
2017-09-22,down
2017-09-25,down
2017-09-26,down
2017-09-27,down
2017-09-28,stay
2017-09-29,stay
